pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
0,2656,0.252690,0.037529,0.456755,0.017365,0.183501,0.013606,199.626404,28.377382,57.635075,35,0
1,1577,0.287686,0.042727,0.466861,0.020375,0.198292,0.013958,176.710953,24.570671,44.385956,32,0
2,1601,0.394777,0.058131,0.409084,0.026242,0.184507,0.019096,138.003418,18.829975,22.820198,31,0
3,1758,0.309430,0.046622,0.461552,0.024117,0.199884,0.017105,170.398178,23.457243,37.823830,32,0
4,1706,0.408992,0.051264,0.444666,0.022606,0.190107,0.014632,144.845795,15.702948,57.702343,35,0
5,158,0.100000,0.051264,0.800000,0.022606,0.300000,0.014632,30.400000,15.702948,57.702343,35,-1
6,2292,0.271844,0.035815,0.446156,0.016060,0.182843,0.012602,245.055389,31.158367,48.458870,35,0
7,2213,0.289100,0.045644,0.439130,0.022419,0.212419,0.017483,232.965073,35.306782,45.188251,33,0
8,2734,0.353099,0.039265,0.461029,0.014244,0.174593,0.012088,177.070496,18.702593,37.009773,34,0
9,1716,0.292507,0.042719,0.438239,0.023982,0.213178,0.016137,220.223724,29.781118,83.184593,36,0
10,2793,0.448216,0.047143,0.425281,0.017361,0.175321,0.014687,173.910065,17.120123,51.331089,36,0
11,2610,0.542826,0.058292,0.411597,0.025034,0.199841,0.017451,169.666061,15.092246,48.933384,36,0
12,2139,0.410271,0.040968,0.440877,0.017453,0.186298,0.012091,197.297653,17.650230,37.829960,36,0
13,2400,0.410502,0.042441,0.465176,0.017694,0.208902,0.014317,216.066711,20.199528,52.914440,36,0
14,2214,0.267568,0.035415,0.465500,0.016413,0.204133,0.012960,257.962555,32.449329,53.994568,36,0
15,2778,0.406501,0.051177,0.422023,0.027131,0.216359,0.017456,221.085968,24.053286,50.013695,36,0
16,2341,0.279158,0.052374,0.395180,0.034177,0.257447,0.022677,327.454926,59.321659,53.077061,36,0
17,2442,0.313416,0.055137,0.419546,0.026260,0.225465,0.026226,266.902985,49.814461,66.887581,36,0
18,3142,0.320557,0.044593,0.410552,0.024079,0.208302,0.016222,261.779236,33.223431,56.223873,35,0
19,2191,0.308215,0.042331,0.433035,0.022273,0.215619,0.016501,271.135864,34.917778,49.742088,35,0
20,4044,0.423770,0.051704,0.429661,0.021877,0.203850,0.016233,179.086807,19.291489,57.156628,36,0
21,277,0.100000,0.051704,0.800000,0.021877,0.300000,0.016233,54.000000,19.291489,57.156628,36,-1
22,2563,0.321010,0.039823,0.467795,0.017376,0.216480,0.013359,248.963852,27.979630,47.601093,36,0
23,2512,0.341082,0.029914,0.459797,0.011157,0.173641,0.008225,249.042084,20.952219,60.156300,34,0
24,2553,0.529637,0.053226,0.414382,0.022215,0.189810,0.015753,186.578918,15.802147,36.545933,36,0
25,2482,0.534967,0.101975,0.353600,0.056181,0.285649,0.038562,219.773956,35.568203,42.910614,36,0
26,2606,0.330256,0.046521,0.392179,0.026844,0.208722,0.020192,306.002350,43.508083,80.888748,36,0
27,2288,0.352641,0.040538,0.495760,0.015925,0.215778,0.012490,205.965073,21.227619,51.221939,36,0
28,2873,0.438051,0.037549,0.442551,0.014763,0.172818,0.010856,213.299866,16.575474,82.072296,36,0
29,2536,0.349487,0.034876,0.466067,0.015843,0.188488,0.009886,241.135147,21.719248,85.831429,36,0
30,2831,0.372991,0.052363,0.453560,0.025720,0.238482,0.021816,235.947021,31.551401,44.623028,36,0
