,pmt,q,eq
0,0,0.456755,0.017365
1,1,0.466861,0.020375
2,2,0.409084,0.026242
3,3,0.461552,0.024117
4,4,0.444666,0.022606
5,5,0.8,0.022606
6,6,0.446156,0.01606
7,7,0.43913,0.022419
8,8,0.461029,0.014244
9,9,0.438239,0.023982
10,10,0.425281,0.017361
11,11,0.411597,0.025034
12,12,0.440877,0.017453
13,13,0.465176,0.017694
14,14,0.4655,0.016413
15,15,0.422023,0.027131
16,16,0.39518,0.034177
17,17,0.419546,0.02626
18,18,0.410552,0.024079
19,19,0.433035,0.022273
20,20,0.429661,0.021877
21,21,0.8,0.021877
22,22,0.467795,0.017376
23,23,0.459797,0.011157
24,24,0.414382,0.022215
25,25,0.3536,0.056181
26,26,0.392179,0.026844
27,27,0.49576,0.015925
28,28,0.442551,0.014763
29,29,0.466067,0.015843
30,30,0.45356,0.02572
31,31,0.460912,0.015459
32,32,0.439229,0.019237
33,33,0.406769,0.021914
34,34,0.482244,0.01993
35,35,0.39227,0.027028
36,36,0.455531,0.016217
37,37,0.442313,0.020637
38,38,0.473633,0.013652
39,39,0.438047,0.028861
40,40,0.461212,0.01461
41,41,0.465068,0.016006
42,42,0.489017,0.016584
43,43,0.431553,0.015456
44,44,0.43705,0.025581
45,45,0.427689,0.024223
46,46,0.408847,0.039123
47,47,0.427369,0.026154
48,48,0.452084,0.019708
49,49,0.455702,0.019191
50,50,0.404722,0.033993
51,51,0.340284,0.015032
52,52,0.168116,1.354056
53,53,0.461567,0.015732
54,54,0.416559,0.023024
55,55,0.393354,0.023463
56,56,0.452108,0.015389
57,57,0.466836,0.019643
58,58,0.460298,0.020969
59,59,0.8,0.020969
60,60,0.452032,0.023241
61,61,0.472312,0.015901
62,62,0.484915,0.015221
63,63,0.438814,0.008199
64,64,0.490387,0.014445
65,65,0.420592,0.033723
66,66,0.456755,0.022727
67,67,0.424117,0.037333
68,68,0.469142,0.016067
69,69,0.429602,0.02804
70,70,0.443178,0.027262
71,71,0.8,0.027262
72,72,0.434884,0.014402
73,73,0.420339,0.022752
74,74,0.395205,0.034737
75,75,0.435829,0.015587
76,76,0.43112,0.018876
77,77,0.465027,0.020352
78,78,0.46097,0.01737
79,79,0.292487,0.042809
80,80,0.498163,0.013666
81,81,0.447425,0.01797
82,82,0.425104,0.022738
83,83,0.466019,0.017752
84,84,0.448626,0.020928
