channel_id,baseline,rms
0,14953,0.561864
1,14973.5,0.208575
2,14978.5,0.936216
3,15114.8,0.371492
4,15028.3,0.418144
5,14895,0.449714
6,14985.8,0.430472
7,14897.5,0.4128
8,15041.8,0.404855
9,14982.6,0.388401
10,14901.3,0.468619
11,14846.1,0.325635
12,14762.2,0.745001
13,14992.1,0.437688
14,14899.3,0.464875
15,15321.9,0.228107
16,14978.3,0.368126
17,14962.4,0.368584
18,15111.2,0.304065
19,14791.7,0.309471
20,14993.5,0.792407
21,14916.7,0.647211
22,15020.5,0.495706
23,14825.2,0.434564
24,15016.6,0.529436
25,14926.5,1.38769
26,14990.4,0.482412
27,14943.1,0.597851
28,14781.9,1.34057
29,14921.7,0.482131
30,15152.2,0.285025
31,14911.3,0.61937
32,14943.5,0.294473
33,15071.2,0.342782
34,14921.9,0.711796
35,15005.5,0.214601
36,15096.4,0.318697
37,15154.4,0.683475
38,15097.9,0.309068
39,15095.7,0.546476
40,15027.8,0.281626
41,14920.4,0.457011
42,14893.9,0.451459
43,15052.6,0.295798
44,14884.2,0.384164
45,15043,0.34449
46,15067,0.258844
47,15011.8,0.555154
48,14930.6,0.613424
49,15046,0.679767
50,14976.5,0.4437
51,14971.7,0.418649
52,15015,0.481299
53,15228.3,0.336531
54,15050.7,0.425215
55,15024.8,0.4782
56,15128.5,0.435296
57,15043.5,0.459736
58,15044.6,0.365211
59,15067.2,0.462139
60,15149.8,0.322079
61,14790.3,0.37067
62,15041.9,0.331978
63,14971.9,0.339831
64,14842.5,0.3066
65,15055.5,0.25461
66,15093.1,12.65
67,14935.2,0.431875
68,15061.5,0.581824
69,14777,0.373464
70,14955,1.03177
71,14874.8,0.393352
72,14928.7,0.875928
73,15014.8,0.471628
74,14799.8,0.286423
75,14852.1,0.349899
76,15022,0.395521
77,14735.7,0.304262
78,14909.5,0.317475
79,14893.1,0.375636
80,15007.1,0.4001
81,14903.8,0.305148
82,14934,0.5267
83,15154.4,0.76766
84,14891.9,0.458411
85,15033.1,0.873501
86,15027.2,0.6505
87,14932.3,0.393731
88,15146.5,0.719456
89,15121.1,0.429059
90,15006.6,0.352099
91,14932,25.5762
92,14885.6,0.269979
93,14957.1,31.1936
94,14969.6,433.39
95,15065.7,0.370921
96,14996.5,0.325376
97,14761.1,0.519739
98,15026,0.371517
99,14909.8,0.373044
100,14916,17.5696
101,15231.1,0.485499
102,15012.5,0.326406
103,14844.8,0.33432
104,15073.5,0.491304
105,14824.5,0.4026
106,15054,0.372824
107,14896.3,0.548779
108,14911.9,0.415764
109,14876.7,0.360339
110,14965.3,0.346251
111,14814.7,12.7211
112,15073.6,0.366956
113,14936.9,32.3776
114,15087,28.9456
115,14963.8,19.6521
116,14909.1,155.144
117,15110.9,132.026
118,14925.8,0.371496
119,15094.3,1321.83
120,15006.7,2144
121,15085.8,434.322
122,15105,0.872491
123,14981.6,12.4201
124,15039.8,975.262
125,15028.4,0.535656
126,15142.6,0.537939
127,15100.9,0.276733
128,15030.2,0.591499
129,15101.8,0.359675
130,14889.9,0.284766
131,15028.5,0.363167
132,14931.8,0.280146
133,14877.8,0.331151
134,15013.2,0.354376
135,15096.2,0.323629
136,15069,0.796939
137,15031.7,0.411059
138,15053.2,0.177387
139,15006.3,0.135239
140,15199.1,0.359138
141,15121.4,0.534339
142,15157.7,0.433095
143,15009.6,0.407371
144,14927.3,0.440277
145,14911.3,0.405298
146,14912.2,209.919
147,15006.7,0.518319
148,15001.5,0.402186
149,15130.3,0.410266
150,15036.3,0.279072
151,15041.4,0.456531
152,14980.6,0.434509
153,15126.4,0.518256
154,15004.9,0.461916
155,15211.7,0.543019
156,15224.7,0.491636
157,15064.1,2320.73
158,15012.4,0.485176
159,15067.5,47.0292
160,14997.2,0.247627
161,14929.8,0.475651
162,14932.8,0.367148
163,15058.9,0.329059
164,14900.7,0.437064
165,15072.5,0.4428
166,15112.5,0.490589
167,15104.4,0.393891
168,15095.9,0.570626
169,14906.4,0.373483
170,15041.6,0.442499
171,14875.8,0.360176
172,14983.2,0.287079
173,14974.3,0.301949
